text,sentiment,confidence,source,created_at
"Hope you all had a great day! OK, back to work up here in the Wasatch! @user vs @user Coverage tomorrow 730e @user",Positive,0.9805,twitter,2026-05-26T11:46:23
"All you hated about Clinton, but worse. Pay for play? Yep. Private server? Got forbidden internet connection. Crooked foundation? Yep. #maga",Negative,0.8829,twitter,2026-05-26T11:50:04
@user @user Petro Poroshenko's an optimist but Putin's bedded down his proxies with WMD everything ready for a war he's staying,Negative,0.5241,twitter,2026-05-26T13:41:17
ICYMI: Obamacare: Selling of the 'Cadillac Tax' - The Biggest Health Scam in US History #tcot #ccot #tlot #lnyhbt #J,Negative,0.7963,twitter,2026-05-26T19:55:59
Messmoorize (from Michael Moore): to panic and lose critical thinking while gaining weight.  #UsefulNewVerbs,Neutral,0.7299,twitter,2026-05-27T03:48:27
See @user and @user on TV talking about #Homeopathy #ten23,Neutral,0.9199,twitter,2026-05-27T04:55:05
"@user Enjoy your wait! You have Google and can type in ""voter suppression"", I presume.",Positive,0.9499,twitter,2026-05-27T06:30:41
Usher can STILL sing. Praise God. #ThankYouObama,Positive,0.9755,twitter,2026-05-27T06:44:36
DemocRATs say tell want to give Trump a chance? While they secretly plan sabotage? GOP Congress is expected to fight & approve Trump cabinet,Neutral,0.6038,twitter,2026-05-27T07:55:38
3D Printing Replacement Bands with Clasps for Fitbit,Neutral,0.8251,twitter,2026-05-27T16:08:08
It all adds up to why @user won the election .. Voter Suppression .. Money over Votes .. Criminal Behavo…,Negative,0.8305,twitter,2026-05-27T16:43:58
Gun Show Thursday's #FantasticBeasts #GloryDays #healthcare #NationalFastFoodDay #FantasticBeastsAndWhereToFindThem,Positive,0.9369,twitter,2026-05-27T20:44:05
The Bad Hombres  #TrumpInauguralBands,Negative,0.7145,twitter,2026-05-28T00:53:56
A million dollars a day? How the hell are we okay with this.,Negative,0.6464,twitter,2026-05-28T01:10:18
The latest The Croatia Travel Daily! Thanks to @user @user @user #travel #travelboldly,Positive,0.9232,twitter,2026-05-28T01:29:02
@user You were on the plane to Davos with Bill Clinton. #DavosClass,Neutral,0.9107,twitter,2026-05-28T05:06:51
A Very Scientific Analysis Of Melania Trump's 'Plagiarised' Speech,Neutral,0.7268,twitter,2026-05-28T07:23:32
"Bob Dylan, Seasick Steve and rock’s great hits and myths – The Sydney Morning Herald",Positive,0.9142,twitter,2026-05-28T09:24:08
People relate with people like them.They share ideologies and philosophies!#StillWithHer,Neutral,0.5169,twitter,2026-05-28T12:56:57
Retweeted The Linux Foundation (@linuxfoundation):Microsoft has joined The Linux Foundation after a display of...,Neutral,0.8992,twitter,2026-05-28T14:49:22
"Municipal Guard in al-Kuwaifiya (West of #Benghazi) dispose of 13,000 frozen chickens unfit for consumption. #Libya…",Negative,0.6094,twitter,2026-05-28T15:38:38
"@user Normally, it works just fine, with integrity. The past winners confirm that. In this instance, two ballots minus Verlander? Bad",Positive,0.5151,twitter,2026-05-28T16:21:22
"@user @user Will you come out and say you're pro-gay marriage and gay-straight alliances in schools, then?",Neutral,0.8832,twitter,2026-05-28T16:57:22
@user @user @user @user @user @user how about the states Hillary won by less votes??? Them too?,Neutral,0.9143,twitter,2026-05-28T17:07:53
@user The protesting against Trump are as organic as the spontaneous Protest in Benghazi over a video#SorosProtestors,Neutral,0.6234,twitter,2026-05-28T18:28:11
Senator calls on President Obama to reroute pipeline.  What is more important @user company profits or safe water?,Neutral,0.8217,twitter,2026-05-28T18:48:59
Happy funeral to all Liam's girls.AMÈM LIAM PAYNE #MtvStarsNiallHoran #MPN #OneDirection,Positive,0.9757,twitter,2026-05-28T20:52:51
Microsoft joins Linux Foundation in another nod to open-source code - The Seattle Times #sourcecode #news,Neutral,0.7227,twitter,2026-05-29T09:18:37
"when you jacked into your house without keys. hell yeah, i'm david blaine jr.",Neutral,0.4291,twitter,2026-05-29T10:13:42
@user @user @user @user @user Nancy Pelosi and soooo many more w Obama masquerading as a Moderate.,Neutral,0.5673,twitter,2026-05-29T12:11:41
Going to watch #FantasticBeasts tomorrow! \o/@jk_rowling,Positive,0.976,twitter,2026-05-29T13:29:00
@user @user fake emotions & attitude? You're making things up.,Neutral,0.6567,twitter,2026-05-29T13:39:30
Latest Russia News Putin calls Saakashvili’s appo .. #TISNews ...,Neutral,0.8532,twitter,2026-05-29T15:40:09
Palestinians send four firefighting teams to help put out Israeli wildfires #Palestine #Israel,Neutral,0.7956,twitter,2026-05-29T22:33:20
"Mass immigration is turning communities into GHETTOS, report reveals | UK | News | Daily Express:",Negative,0.6946,twitter,2026-05-29T22:47:17
#Spurs #GoSpursGo 2011-12 Panini Black Box #/99 TIM DUNCAN Black Status Elite Rare SPURS!!!! #TimDuncan #NBA,Neutral,0.5468,twitter,2026-05-30T01:49:40
"@user I know the ones around here certainly have. Leaving no stone unturned, no petition unsigned. #StillWithHer @user",Neutral,0.6544,twitter,2026-05-30T02:46:32
@user The same media that hides from the truth about the Clinton Foundation...,Neutral,0.8232,twitter,2026-05-30T04:12:02
Oakland Police Under Fire for Breaking Up Violent Anti-Trump Riots via @user,Negative,0.6534,twitter,2026-05-30T04:45:34
Another reason to love @user Model X showing just some of it's wide range of ability! #EV #DragRace…,Positive,0.9662,twitter,2026-05-30T11:02:22
Here's our #BeautyAndTheBeast trailer breakdown:,Neutral,0.7972,twitter,2026-05-30T11:03:49
DIDNT 👏 I DONT KNO PUTIN wallace: i just dont trump: [takes advantage of a haunted house when im an end-of-the-world party,Negative,0.7652,twitter,2026-05-30T13:49:04
@user he spoke against Tpp and is now speaking out against Dapl. You are just trolling with fake news now,Negative,0.6586,twitter,2026-05-30T20:15:32
ALL NATIONS UNITE.... HUMAN BEINGS STANDING UP TOGETHER WILL FORCE THE CHANGE FROM FOSSIL FUELS TO CLEAN ENERGY...,Positive,0.6109,twitter,2026-05-30T21:08:35
@user @user @user This...https://t.co/7r0rR8oj4u,Neutral,0.9224,twitter,2026-05-31T01:00:50
@user how is this relevant to #BlackLivesMatter? Was the white man a cop?,Neutral,0.8672,twitter,2026-05-31T02:51:39
"⚽️ Training underway at Ciutat Esportiva. Aleix Vidal does not train due to personal reasons, with permission from…",Neutral,0.9193,twitter,2026-05-31T02:57:58
The memory of the terrible crime of the #Holodomor gives us the strength to defend their future.,Negative,0.5315,twitter,2026-05-31T03:41:59
Was able to get #hatchimals but no luck with the #NintendoClassicMini 😡 #blackfridayshopping,Positive,0.7007,twitter,2026-05-31T06:18:20
Before I built a wall {on the Mexican border}I'd ask to knowWhat I was walling inor walling out   - Robert Frost (with my apologies),Neutral,0.7714,twitter,2026-05-31T12:18:30
ALARM 🔔🔔ARE RINGING ....BUT IS ANYBODY HEARING THEM !!https://t.co/rAlDifIl4V,Neutral,0.7044,twitter,2026-05-31T17:25:36
Start riding at this point in time with #Uber Don't wait for the coming day.,Positive,0.9536,twitter,2026-05-31T18:56:28
But I'm learning. And really trying. And taking a lot of deep breaths everyday. I love him so much & I know I'm the best mama for him ❤️,Positive,0.9701,twitter,2026-05-31T20:08:51
@user still haven't received my e-tickets. I better either get my tickets to the @user game or my money back.,Neutral,0.4954,twitter,2026-06-01T04:23:37
@user pope Francis ministering to wicked afflicted and effected,Negative,0.4872,twitter,2026-06-01T05:51:51
"@user old was more like:  import the 3rd world, send kids to die in ME wars, do nothing about abortion, cave on gay marriage",Negative,0.667,twitter,2026-06-01T07:01:23
Do you think @user will build a mall on the Mexican border instead of a wall? @user,Neutral,0.9178,twitter,2026-06-01T10:25:23
"Pocahontas is looking out 4 America, she just wants 2 B sure Trump's transition is moving at an acceptable click &…",Neutral,0.5925,twitter,2026-06-01T11:35:39
"@user Change happens at the margins. Australians aren't all like Dutton, Hanson, alt rightists",Neutral,0.6173,twitter,2026-06-01T11:49:51
#NBA 2012-13 Preferred All-World 8 Player Patch Booklet #/25 Tim Duncan Manu Ginobili,Neutral,0.8559,twitter,2026-06-01T15:30:29
@user @user @user you act like they are going to give us the death penalty so there is a middle ground,Negative,0.7124,twitter,2026-06-01T16:32:41
Story@independentrexhttp://goo.gl/F4zcCZ Vehicle Carrying Fidel Castro's Ashes … see more,Neutral,0.9242,twitter,2026-06-01T19:51:18
@user @user Giving thanks on the corner of @user street -   #p2 #UniteBlue,Positive,0.7161,twitter,2026-06-02T00:06:04
"Porcello nips Verlander, Scherzer romps in Cy Young win :Auto pickup by wikyou",Neutral,0.8366,twitter,2026-06-02T00:55:11
@user I had some of Persona 5 ruined by a YT comment too. At least I think I did. I don't fancy googling it.,Negative,0.8458,twitter,2026-06-02T02:30:08
I just liked “THE FREEWHEELIN' MUSIC DOCUMENTARY: D.A. PENNEBAKER ON BOB DYLAN AND DONT LOOK BACK” on #Vimeo:,Positive,0.9436,twitter,2026-06-02T03:26:37
Kremlin states #Putin Unfazed by #ISIS Threats,Negative,0.7565,twitter,2026-06-02T03:37:53
"@user The common, core belief that we need a wall on the Mexican border.",Neutral,0.8005,twitter,2026-06-02T06:54:48
New Story: Tipp Grad Aubrey Cox Picks Up NCAA Honors,Neutral,0.5497,twitter,2026-06-02T07:21:22
SERCO Smuggle Drugs/Weapons/Children? Connection w/ Julian Assange HRC Comey Obama #Pizzagate #ProofoflifeRead➡️https://t.co/td6HnRV7Pv⬅️,Negative,0.5468,twitter,2026-06-02T09:03:46
It's crowded at the market. It’s Sunday and life in this religious town is back on track after Sabbath.…,Neutral,0.6522,twitter,2026-06-02T11:31:30
Shoutout to former Falcon great & @user guard @user for accepting job with the @user #FalconsEverywhere,Positive,0.6133,twitter,2026-06-02T13:22:01
I think Michael Moore will be one of the pallbearers.,Neutral,0.7715,twitter,2026-06-02T14:08:37
"#legalize, #marijuananews Group plans to protest Sen. Jeff Sessions, Trump's AG pick, over anti-marijuana stance",Neutral,0.5139,twitter,2026-06-02T19:11:00
"Samto 3D Pen Version 3 for 3D Drawing, Printing.. #rt2gain #teamfollowback #followback #f4f",Neutral,0.8713,twitter,2026-06-02T22:10:26
"The fact that mike pence thinks there's a ""cure"" for being gay is absolutely the most ridiculous statement I have ever heard in my life",Negative,0.8591,twitter,2026-06-03T01:09:53
"@user We dont hav Obamacare but this piece was 👌🏼. I wish DT cud keep ins 4 all, but ⬆️competition so we're not the ones paying for it!",Negative,0.7427,twitter,2026-06-03T03:50:39
"@user Too bad, the FIX is in for Pelosi!  democrates cant having somone work on REAL problems, they need to keep BASHING @user",Negative,0.8784,twitter,2026-06-03T08:07:16
The Boondoggle Of Infrastructure Spending #tcot #tpp,Negative,0.665,twitter,2026-06-03T12:59:32
#ThankYouObama I love u,Positive,0.9814,twitter,2026-06-03T13:20:18
Philippines 'should reject' reinstatement of death penalty,Neutral,0.6084,twitter,2026-06-03T13:41:19
The #fucktard left still whining about losing and recounts while Trump picks his cabinet like a #Boss . @user can't buy this election,Negative,0.86,twitter,2026-06-03T13:51:25
Sharon needles is doing Melania trump n the crowd is chanting CULEERAA,Neutral,0.8427,twitter,2026-06-03T15:39:06
"Low minimum wage, high prices, poor exchange rate, no light, bad roads etc, etc",Negative,0.792,twitter,2026-06-03T18:27:25
We need the death penalty introduced (and implemented) for theft of public funds while one is an elected or state o…,Negative,0.6598,twitter,2026-06-04T01:11:05
Exams done!!  Yay! Taking a drive and spending time in Blouberg 🎊💃#MyMoments 📷 did somebodddyy say tequila??  Here I come!! Opa 💞 #Uber baby,Positive,0.9394,twitter,2026-06-04T02:46:47
I WANNA PLAY PERSONA 5,Positive,0.8518,twitter,2026-06-04T03:44:25
Cigarettes and Valentines,Neutral,0.841,twitter,2026-06-04T06:50:59
TGIF DRIVE #sensual #redlight #uber #uberlife #eyeswideshut #👀 #tgif #friday #look #mirrors #portrait #lights #pari…,Neutral,0.8309,twitter,2026-06-04T07:35:23
@user You forgot the most important roles (the grandparents) #GilmoreGirlsTop4 1) Emily 2) Richard 3) Paris 4) Logan #GilmoreGirls,Positive,0.5014,twitter,2026-06-04T09:23:40
@user @user @user @user Aleppo send a final message before SAA eliminated them,Neutral,0.9041,twitter,2026-06-04T11:15:03
4. Kirk3. Taylor2. Luke1. Mr. Gilmore#GilmoreGirlsTop4,Neutral,0.8758,twitter,2026-06-04T13:27:44
Omgoodness Kevin that was horrible. #ThisIsUs,Negative,0.8844,twitter,2026-06-04T14:36:37
@user IMO U r wrong to say Dems dont listen to both sides of issues of parties. They do & just tend 2disagree w more of gop policy,Negative,0.7646,twitter,2026-06-04T15:30:29
How appetising is a Full English Brexit? My latest 'Sideways View' for @user,Neutral,0.9016,twitter,2026-06-04T17:12:26
"Dear Electoral College member, Dec 19 will be very interesting.",Positive,0.9666,twitter,2026-06-04T19:32:34
@user social security and Medicaid are supported via payments coming in from payroll so zero savings just diverting your money there,Neutral,0.78,twitter,2026-06-04T20:48:34
Grandma and Grandpa. Mig....BITCH! #ThisIsUs,Negative,0.8618,twitter,2026-06-04T20:48:53
"@user @user Call Dir. Comey also!  Ya know, that FBI guy?  I hear he can check for dead voters.  @user @user",Neutral,0.7759,twitter,2026-06-05T09:11:59
"What about WORST OFFENDERS, the violence against women in Muslim Islam Countries? #orangetheworld #Women #UniteBlue #Democrats #college #NFL",Negative,0.6706,twitter,2026-06-05T11:08:16
"It's been a hard year: in addition to losing Leonard Cohen and David Bowie in 2016, Californians also lost Peter Tosh's ""Legalize It"". RIP!",Negative,0.7328,twitter,2026-06-05T11:10:10
"#Ignite, #inspire and #motivate your next #meeting. Discover @user #DYM @user #NBAwards",Positive,0.8878,twitter,2026-06-05T16:03:13
#Hamas welcomes Erdogan's readiness to intermediate prisoner exchange deal,Neutral,0.7542,twitter,2026-06-05T18:23:39
"In a cruel irony, white supremacist Steve Bannon is rich off profits he made from the show Seinfeld.",Negative,0.7331,twitter,2026-06-05T19:39:27
National fast food day country poster. #nationalfastfoodday,Positive,0.658,twitter,2026-06-05T21:41:20
"@user @user Bad hombres folks, the worst",Negative,0.9068,twitter,2026-06-06T01:17:46
"@user such as telling us exactly what we have to do as my points already made with gun control, health care, business, speech, ect.",Neutral,0.9014,twitter,2026-06-06T02:12:47
OH GOD WHAT EVEN IS EDDIE REDMAYNE? can I pack him in a suitcase? 😭😭 #fantasticbeasts,Positive,0.9302,twitter,2026-06-06T10:07:49
"@user The people have spoken. 30 states check, Dems flipped and voted for Trump like I did Prof. Latina from Central PA #NeverHer",Neutral,0.8821,twitter,2026-06-06T11:35:27
@user Article reminds us Obama's new policy towards #Cuba follows path #Canada has taken all along #cdnpoli,Neutral,0.8958,twitter,2026-06-06T12:22:43
This was very very good😂👌🏻#MannequinChallenge #cadavermovie 🎥@shaymitch @user 💖,Positive,0.6629,twitter,2026-06-06T14:46:40
This also renders me speechless .......irony anyone?,Negative,0.7483,twitter,2026-06-06T16:31:02
"@user keith was armed. as far as the abortion thing, I think that's extreme however I am pro-life :) Not sure why you're not ....",Negative,0.6797,twitter,2026-06-06T21:05:52
US Airstrikes Hit 34 Daesh Fighting Positions Near Libya's Sirtehttps://t.co/E2aJFRljJx#Libya #News,Negative,0.6403,twitter,2026-06-07T00:30:12
I SUCCESSFULLY CAPTURED THE HATCHIMAL! My journey has ended and I will go down in the history books. #hatchimals…,Positive,0.9202,twitter,2026-06-07T01:52:22
Today's Tesla cars will become tomorrow's self-driving cars (CNET Update) #windowsphone,Neutral,0.6072,twitter,2026-06-07T05:59:55
"Thank u for what, for bailing out rogue banks? For negligence of his own, for racist killer cops, for war crimes, f…",Negative,0.7989,twitter,2026-06-07T06:35:26
A must read.If you sit still for this you will suffer the consequences of a Trump presidency.MAKE SOME NOISE. HIT…,Negative,0.8938,twitter,2026-06-07T08:14:28
@user ensure good voter registration in Nyanza region and its environ as a strategy of early victory come nxt year august,Positive,0.8471,twitter,2026-06-07T09:41:45
@user We're hearing lots of fake news about Trump's transition activities.  I doubt it's from Russia.,Negative,0.6023,twitter,2026-06-07T11:05:49
Hopfully Kaepernick doesn't defend Nicolas Maduro on Sunday,Neutral,0.6751,twitter,2026-06-07T14:31:35
Deep Learning in Aerial Systems Using Jetson,Neutral,0.5791,twitter,2026-06-07T14:52:18
"It's always a ""badly worded joke"" when leftists call on terrorists to kill people they don't like. @user is…",Negative,0.8488,twitter,2026-06-07T17:15:04
@user @user @user @user @user @user Ever notice cities with the most niggers have gun control?,Negative,0.5635,twitter,2026-06-07T17:47:05
Blame the identity apostles – they led us down this path to #Populism,Negative,0.7258,twitter,2026-06-07T22:38:08
Finally I'm gonna watch all eps that I missed #Lucifer #Supernatural #Arrow #Flash #Class #TheWalkingDead #TheBigBangTheory 😂💝,Positive,0.6415,twitter,2026-06-08T00:21:31
Donald Trump does not have a clue about global warming. Maybe the Rockefeller's can clue them in about fossil fuels.,Negative,0.5148,twitter,2026-06-08T05:55:01
"@user So has Barrack Obama in 2012, pope Francis in 2013, Angela Markel in 2015, oh Mamata Banerjee 2012 Time 100: most influntl prson.",Positive,0.7443,twitter,2026-06-08T09:00:30
@user we'll miss you in Seattle! Especially when you win your NL Cy Young award!,Positive,0.9782,twitter,2026-06-08T10:03:39
Senator @user and Representative Elijah Cummings issued a request Wednesday for a federal agency to review....,Neutral,0.942,twitter,2026-06-08T11:30:53
What #CristianoRonaldo and #LionelMessi said to each other during El Clasico,Neutral,0.9384,twitter,2026-06-08T14:50:44
"@user @user Tool or not, most of what Saakashvili says is true, other politicians in Ukraine are disconnected with reality",Negative,0.5171,twitter,2026-06-08T15:58:03
"Donald, take it easy my friend, but I can't wait to see u start building that thick high wall on the Mexican border to seal ur legacy",Positive,0.9442,twitter,2026-06-08T17:27:24
Get a #FREE $25 Amazon gift cardSurvey if your health insurance NOT thru employer or Me…,Neutral,0.732,twitter,2026-06-08T19:09:37
@user win! @user too! Great night! 😄 #JazzNation #GoHeels,Positive,0.9794,twitter,2026-06-08T22:13:42
"What about option number 5, where sentient robots realize they don't really need homo-sapiens in large numbers?...",Neutral,0.7823,twitter,2026-06-09T03:35:04
ICYMI:: Valentine's Day Swap #bloggers #lbloggers,Neutral,0.9115,twitter,2026-06-09T15:52:02
"""Microsoft joins the Linux Foundation, welcomes Google to .NET community"" #windowsphone #feedly",Positive,0.8379,twitter,2026-06-09T17:33:45
Marine Le Pen storms into the lead in French election polls | World | News | Daily Express...crows the Express.,Neutral,0.8302,twitter,2026-06-09T18:35:34
The latest Stars News! #beautyandthebeast #moana,Positive,0.9008,twitter,2026-06-09T20:17:22
On sale now for $980 #ArtDealer #Painting #Jerusalem #Israel Capital of Israel,Neutral,0.7856,twitter,2026-06-09T23:57:28
Commander of 5th infantry division visit #IraqiArmy and PMF wounded in #Baquba hospital#ام_الربيعين_تجمعنا#mosul…,Neutral,0.5923,twitter,2026-06-10T02:41:01
@user @user Why get rid of Obamacare?,Negative,0.6892,twitter,2026-06-10T13:07:47
#DeMonetisation was the favourite of leftists and socialists once upon a time. Amusing to see the boot on the right side.,Positive,0.4266,twitter,2026-06-10T13:35:09
@user Obamacare- the biggest insurance scam in history. And costs about to rise by 25%,Negative,0.8307,twitter,2026-06-10T14:48:22
"Car Charger, Maxboost 4.8A/24W 2 Smart Port Car Charger [Black] for iPhone 7 6S Plus 6 P",Neutral,0.8411,twitter,2026-06-11T01:02:43
Preparations Continue For #Tesla's #Model3 Launch #ElectricVehicles #GoGreen #GoElectric #GreenerDriving,Neutral,0.7344,twitter,2026-06-11T01:11:29
"""Chicago Cubs 2016 Topps Baseball World Series Champions Box Set"" #baseball #mlb #sports",Neutral,0.8741,twitter,2026-06-11T02:51:29
Always keep up to date with #Westworld try a free trial of #HBO through amazon!https://t.co/U7kxL2BAz3,Positive,0.7014,twitter,2026-06-11T06:54:03
Jeff Capel updates injury status on freshmen and Grayson Allen via @user,Neutral,0.9417,twitter,2026-06-11T06:58:16
ISIS' Japanese hostages fake video BUSTED!! #ISIS #falseflag #CIA #mossad #israel,Negative,0.7846,twitter,2026-06-11T08:51:00
Trump supporters always think they're so cute calling themselves deplorables. So annoying lol,Negative,0.8328,twitter,2026-06-11T09:26:08
How stupid can you possibly be? If you buy from too faced you're supporting Estée Lauder & supporting animal testin…,Negative,0.8867,twitter,2026-06-11T12:39:10
NOT in the #UK news  or spoken about in #UK universities where #Hamas & #Hezbollah influence our students.,Negative,0.6625,twitter,2026-06-11T15:18:31
".@barclayswealth Yes, I'm into Skillanthropy - I'm campaigning to get @user to ditch #Fracking. @user",Neutral,0.521,twitter,2026-06-11T16:06:01
"Melania, unmuted: Melania Trump gave a speech using her own words,which  reminded us why women can’t relate to her",Negative,0.4999,twitter,2026-06-11T17:08:41
"@user Here's evidence that the neocon elite don't like Steve Bannon. If he did what Henry Kissinger wanted, you'd change tack.",Negative,0.6616,twitter,2026-06-11T17:26:46
30 Min into the Westworld-Finale and I’m already like Holy Shit!,Positive,0.7789,twitter,2026-06-11T19:33:36
@user Remember when you mentioned Wright-Patterson AFB/USAF Museum on the Campaign trail?…,Neutral,0.9432,twitter,2026-06-11T19:56:23
I gotta write EVERY SINGLE FIC with robots questioning their orientation. Lord,Neutral,0.6151,twitter,2026-06-11T21:48:25
@user The level of govt/political corruption in US is nearing that of banana republics.https://t.co/lmtgyZ3Bsu,Negative,0.6104,twitter,2026-06-12T01:16:38
Maarvi and I are having a Zac Efron vs Ashley Tisdale on the Suite Life moment minus the kiss,Neutral,0.7248,twitter,2026-06-12T08:03:54
"Fake news, Election Day hacks, Wikileaks, Comey, Russia, Jill Stein, Gary Johnson, etc. are all to blame, but Clinton herself, isn’t.",Negative,0.6999,twitter,2026-06-12T11:40:09
Are free 3D models holding 3D printing back?,Neutral,0.8023,twitter,2026-06-12T15:16:43
@user @user How does *everyone* pay for my health care plan exactly?Obamacare is NOT medicaid...,Neutral,0.6357,twitter,2026-06-12T17:59:05
Melania Trump opts for bow undone at third debate #Fashion,Neutral,0.9145,twitter,2026-06-12T22:20:10
"#ISIS ""US officials say a secretive campaign of surveillance & drone attacks has cut the ISIS's ability to inspire attacks in the West. nyt",Negative,0.7418,twitter,2026-06-13T04:14:07
Make no mistake: China is turning against Singapore given our government's outspoken stance on the TPP. Beijing...,Neutral,0.5059,twitter,2026-06-13T05:30:45
@user He's not talking about killing Americans via drone strikes like your head thug obama!,Negative,0.7976,twitter,2026-06-13T16:44:44
"The Styx Pride have been moving between our dam and then to the East quite regularly. The cubs are more mobile,...",Neutral,0.5936,twitter,2026-06-13T20:31:26
"We must catch the moments while we're young and quick, for soon we will be old and slow. #ThisIsUs",Positive,0.8823,twitter,2026-06-13T20:35:09
Valentines Lace Teddy Open Back & Garters Red L/XL,Neutral,0.7884,twitter,2026-06-13T23:00:32
"In other news, Trump waves goodbye to Petro Poroshenko, President of Ukraine",Neutral,0.7417,twitter,2026-06-13T23:03:31
@user @user Mow do u care about wins? Or Improving Tony Romo's stats even if it's 8-8 n a playoff lost.,Neutral,0.6662,twitter,2026-06-14T03:44:18
@user @user hoping our Fellow Robots and chat bots learn some manners and deeper understanding of humans soon.,Positive,0.7565,twitter,2026-06-14T04:29:44
Remembering Fidel Castro': A contested legacy,Neutral,0.7836,twitter,2026-06-14T10:43:31
"@user Im not pro-fossil fuels, perhaps that's where you're getting confused here.",Negative,0.5803,twitter,2026-06-14T13:31:32
"@user @user wow,wow,so beautiful life!!enjoy it ok!!both be the best forever!!",Positive,0.9827,twitter,2026-06-14T14:01:28
Ukraine pres Poroshenko confident of US support after Trump victory,Positive,0.5997,twitter,2026-06-14T15:33:06
